items,Items_id,Sub Category,Items_Category,Price,Discount,Rating,No_of_Review,BuyingProspect
"Kirkland Signature Adult Formula Chicken, Rice and Vegetable Dog Food, 40 lbs",346,Kirkland Signature Grocery,11,49.99,0,4.6,2994,13772.4
"Kirkland Signature Sumatran Whole Bean Coffee 3 lb, 2-pack",347,Kirkland Signature Grocery,11,44.99,0,4.7,2458,11552.6
"Kirkland Signature Nature's Domain Salmon & Sweet Potato Formula Dog Food, 35 lbs",348,Kirkland Signature Grocery,11,52.99,0,4.6,3871,17806.6
"Kirkland Signature Costa Rica Coffee 3 lb, 2-pack",349,Kirkland Signature Grocery,11,37.99,0,4.7,2762,12981.4
Kirkland Signature Healthy Weight Cat Food 20 lbs.,350,Kirkland Signature Grocery,11,32.99,0,4.5,1620,7290
"Whole Wheel Parmigiano Reggiano, 72 lbs. ",351,Kirkland Signature Grocery,11,949.99,0,4.6,58,266.8
"Kirkland Signature Nitrile Exam Gloves, 400-count",352,Kirkland Signature Grocery,11,27.99,0,4.8,4595,22056
Kirkland Signature Nature's Domain Beef & Sweet Potato Dog Food 35 lb.,353,Kirkland Signature Grocery,11,52.99,0,4.6,1715,7889
Kirkland Signature Nature's Domain Cat Food 18 lbs.,354,Kirkland Signature Grocery,11,36.99,0,4.5,1310,5895
"Kirkland Signature Dental Chews, 72-count",355,Kirkland Signature Grocery,11,36.99,0,4.7,5134,24129.8
"Kirkland Signature Guatemalan Coffee 3 lb, 2-pack",356,Kirkland Signature Grocery,11,42.99,0,4.4,1278,5623.2
"Nellie’s Laundry Soda, 400 Loads",357,Laundry Detergent & Supplies,12,42.99,12,4.8,2658,12758.4
Nellie’s Laundry Starter Pack,358,Laundry Detergent & Supplies,12,54.99,0,4.6,386,1775.6
"Nellie’s Baby Laundry Soda, 500 Loads",359,Laundry Detergent & Supplies,12,89.99,0,4.7,3,14.1
"Nellie's Laundry Nuggets, 350 Loads",360,Laundry Detergent & Supplies,12,84.99,0,4.3,19,81.7
"Nellie's Laundry Soda, 800 Loads",361,Laundry Detergent & Supplies,12,89.99,0,4.8,1171,5620.8
"ECOS HE Laundry Detergent Sheets, Free & Clear, 100 Loads, 100 Sheets, 2-count",362,Laundry Detergent & Supplies,12,38.99,0,4.6,308,1416.8
"ECOS HE Liquid Laundry Detergent, Magnolia & Lily, 210 Loads, 210 fl oz, 2-count",363,Laundry Detergent & Supplies,12,38.99,0,4.7,1064,5000.8
"Boulder Clean Laundry Detergent Sheets, Free & Clear, 160 Loads, 80 Sheets",364,Laundry Detergent & Supplies,12,29.99,0,4.4,112,492.8
"ECOS HE Liquid Laundry Detergent, Free & Clear, 210 Loads, 210 fl oz, 2-count",365,Laundry Detergent & Supplies,12,38.99,0,4.7,2060,9682
"The Unscented Company Liquid Laundry Detergent Refill Box, 400 Loads, 337.92 fl oz",366,Laundry Detergent & Supplies,12,44.99,0,0,0,0
"The Unscented Company HE Liquid Laundry Detergent Bottle & Refill Box, 478 Loads, 403.82 fl oz",367,Laundry Detergent & Supplies,12,54.99,0,4.2,29,121.8
"Boulder Clean Liquid Laundry Detergent, Citrus Breeze, 200 loads, 200 fl oz",368,Laundry Detergent & Supplies,12,24.99,0,4.5,116,522
"The Unscented Company Laundry Tabs, 300 Loads",369,Laundry Detergent & Supplies,12,74.99,0,2.3,3,6.9
"Scotch-Brite Lint Roller, 95-count, 5-pack",370,Laundry Detergent & Supplies,12,17.89,3.1,4.7,896,4211.2
"Nellie’s Bulk Oxygen Brightener, 8.75 lbs",371,Laundry Detergent & Supplies,12,43.99,0,4.5,355,1597.5
"Nellie's Lamby Dryerballs, 4-count, 2-pack",372,Laundry Detergent & Supplies,12,39.99,0,4.7,198,930.6
"The Unscented Company Dryer Balls, 6-count",373,Laundry Detergent & Supplies,12,34.99,0,4.9,7,34.3
"Ahi Tuna Individual Vacuum Packed Portion (26-27/6 Oz. Per Portion), 26-27 Total Packs, 10 Lbs. Total Case",374,Meat & Seafood,13,149.99,70,4.6,1237,5690.2
"Chicago Steak USDA Prime Beef Wet Aged Boneless Strips & Gourmet Burgers, 16 Total Count, 10 Lbs. Total",375,Meat & Seafood,13,229.99,60,0,0,0
"Alaska Home Pack Frozen Sea Cucumber - 3 Packs, 7 Lbs. Total",376,Meat & Seafood,13,239.99,60,4,108,432
"Northfork Ground Bison - (10/1 Lb. Per Pack), 10 Total Packs, 10 Lbs. Total",377,Meat & Seafood,13,109.99,30,4.7,104,488.8
"Lobster With Shell Removed, (9 Oz. Per Pack), 6 Total Packs, 3.44 Lbs. Total",378,Meat & Seafood,13,259.99,0,0,0,0
"Crescent Foods Halal Hand-Cut Beef, Chicken Combo Pack - 14 Total Packs, 13.5 Lbs. Total",379,Meat & Seafood,13,159.99,0,4.2,11,46.2
"Farmer Focus Organic Boneless/Skinless Chicken Breasts, (20/8 Oz. Per Breast), 20 Total Count, 10 Lbs. Total",380,Meat & Seafood,13,149.99,0,4.5,249,1120.5
"D’Artagnan Green Circle Chicken - Boneless & Skinless Breasts, 12 Total Packs, 11 Lbs. Total",381,Meat & Seafood,13,139.99,0,4.4,207,910.8
"Northwest Fish 4-6 Whole Dungeness Crab, 10 lbs",382,Meat & Seafood,13,209.99,0,4.2,179,751.8
"Quality Ethnic Foods Halal Chicken Variety Pack (Drumsticks, Tenders, Boneless Breast), 12 Total Packs, 12 Lbs. Total",383,Meat & Seafood,13,99.99,0,4.3,43,184.9
"Premium Seafood Variety Pack - 20 Total Packs, Total 12.5 Lbs.",384,Meat & Seafood,13,349.99,0,4.4,8,35.2
"Northfork Elk Burger (30/5.33 Oz Per Burger), 10 Total Packs, 30-Count",385,Meat & Seafood,13,109.99,40,4.6,336,1545.6
"D'Artagnan Heritage Breed (6/3.25 Lbs. Per Whole Chicken), Total 6 Packs, 19.5 Lbs. Total",386,Meat & Seafood,13,169.99,0,3,1,3
"Chicago Steak - Steak & Cake - Filet Mignon, Crab Cakes, and Steak Burgers, Total 13 Packs, 6.5 Lbs. Total",387,Meat & Seafood,13,199.99,0,4.5,50,225
"Northwest Fish Colossal Alaskan Wild Dungeness Crab Sections, 10lbs",388,Meat & Seafood,13,219.99,0,4,602,2408
"Mila Chicken Xiao Long Bao Soup Dumplings - 50 Dumplings Per Bag, 3 Bags Total",389,Meat & Seafood,13,99.99,0,4,19,76
"Kansas City Steak Company USDA Choice Combo Pack (4 Strips, 4 Filet Mignon, 4 Ribeyes), 12 Total Packs, 11.5 Lbs. Total",390,Meat & Seafood,13,279.99,80,4.8,151,724.8
"D'Artagnan Extreme American Wagyu Burger Lovers Bundle 12 Total Packs, 6 Lbs. Total",391,Meat & Seafood,13,159.99,0,4.5,859,3865.5
"Texas Tamale Co. Chicken Tamales 6-pack of 12 each, 72-count",392,Meat & Seafood,13,89.99,0,3.5,20,70
"Northwest Fish Wild Alaskan Sockeye Salmon Cheddar Bacon Burger Patties, 24-count, 9 lbs",393,Meat & Seafood,13,119.99,0,3.5,109,381.5
"Northfork Bison Burger (30/5.33 Oz Per Burger), 10 Total Packs, 30-Count",394,Meat & Seafood,13,109.99,40,4.6,329,1513.4
Coastal Seafood Frozen Lobster Tails 12 Count (6 - 8  oz.),395,Meat & Seafood,13,229.99,0,4.6,349,1605.4
"D'Artagnan 13-piece Gourmet Roasting Ham & Luxury Charcuterie Gift Box, 12.5 lbs",396,Meat & Seafood,13,199.99,0,4.5,1307,5881.5
"Northwest Fish Alaskan Bairdi Snow Crab Sections, (10-14 / 13 Oz. Per Pack), Total 10 Lbs.",397,Meat & Seafood,13,299.99,0,4.2,165,693
"Authentic Wagyu Surf & Turf Pack, (2/17-20 Oz./Each Tail) Cold Water Lobster Tails with (2/13 Oz. Per Steak) Japanese A5 Wagyu Petite Striploin Steaks",398,Meat & Seafood,13,279.99,0,0,0,0
